caregiver_id,caregiver_tenure_months,scheduled_duration_min,actual_duration_min,duration_deviation_min,arrival_deviation_min,tasks_assigned,tasks_completed,task_completion_rate,has_signature,entry_method,gps_mismatch_km,day_of_week,is_weekend,needs_manual_review
11,37,60,62.0,2.0,10.0,2,1,0.5,1,mobile_app,1.16,6,1,0
93,49,30,24.0,-6.0,-4.0,3,2,0.667,1,mobile_app,0.48,0,0,1
79,38,60,57.0,-3.0,-5.0,4,3,0.75,1,mobile_app,0.56,4,0,0
53,36,60,55.0,-5.0,-4.0,5,4,0.8,1,mobile_app,0.33,2,0,0
52,28,30,21.0,-9.0,-3.0,3,2,0.667,1,mobile_app,0.16,4,0,0
104,15,60,60.0,0.0,-0.0,2,1,0.5,1,mobile_app,0.6,6,1,0
11,17,90,62.0,-28.0,9.0,2,1,0.5,1,paper,0.0,3,0,1
84,44,120,118.0,-2.0,2.0,2,1,0.5,1,paper,0.0,1,0,1
25,5,90,89.0,-1.0,1.0,4,3,0.75,1,mobile_app,0.04,6,1,0
12,5,120,102.0,-18.0,3.0,4,3,0.75,1,paper,0.0,2,0,0
64,24,90,105.0,15.0,5.0,3,2,0.667,1,paper,0.0,3,0,1
118,46,90,87.0,-3.0,-7.0,3,2,0.667,1,paper,0.0,1,0,1
89,39,30,28.0,-2.0,6.0,4,3,0.75,1,paper,0.0,6,1,0
92,35,90,86.0,-4.0,-5.0,5,4,0.8,1,mobile_app,0.06,6,1,0
87,32,30,29.0,-1.0,-3.0,2,1,0.5,1,mobile_app,1.09,2,0,1
95,7,30,47.0,17.0,4.0,6,5,0.833,1,paper,0.0,3,0,0
62,20,60,86.0,26.0,-1.0,3,2,0.667,0,paper,0.0,3,0,1
16,5,90,100.0,10.0,5.0,2,1,0.5,1,mobile_app,0.03,6,1,0
101,45,90,96.0,6.0,1.0,2,1,0.5,1,mobile_app,0.39,4,0,1
55,45,120,129.0,9.0,-1.0,4,2,0.5,1,mobile_app,0.66,0,0,0
61,16,120,123.0,3.0,14.0,4,3,0.75,1,mobile_app,0.18,5,1,0
45,18,120,137.0,17.0,6.0,2,1,0.5,1,mobile_app,0.36,3,0,0
22,19,30,38.0,8.0,3.0,4,3,0.75,1,mobile_app,1.35,0,0,0
112,53,120,121.0,1.0,2.0,3,3,1.0,1,mobile_app,0.7,3,0,0
94,29,90,93.0,3.0,-5.0,6,5,0.833,1,mobile_app,0.88,0,0,0
78,45,120,110.0,-10.0,10.0,3,2,0.667,1,mobile_app,0.96,1,0,0
49,27,60,63.0,3.0,-8.0,6,5,0.833,1,mobile_app,0.57,5,1,0
99,42,30,21.0,-9.0,1.0,4,4,1.0,1,mobile_app,0.2,3,0,0
66,32,120,107.0,-13.0,-2.0,6,5,0.833,1,mobile_app,0.18,3,0,0
54,17,60,62.0,2.0,-3.0,4,3,0.75,0,mobile_app,0.17,2,0,1
55,52,60,56.0,-4.0,-2.0,2,1,0.5,1,mobile_app,0.64,6,1,1
28,42,60,60.0,0.0,-4.0,5,4,0.8,1,mobile_app,0.33,1,0,0
12,46,30,31.0,1.0,5.0,4,3,0.75,1,mobile_app,0.36,6,1,0
67,56,30,31.0,1.0,-4.0,6,6,1.0,1,paper,0.0,2,0,0
107,15,120,110.0,-10.0,9.0,3,2,0.667,0,mobile_app,0.2,2,0,1
8,6,120,132.0,12.0,7.0,2,1,0.5,1,mobile_app,0.54,4,0,1
103,35,120,119.0,-1.0,-2.0,2,1,0.5,1,mobile_app,0.84,5,1,0
100,20,60,65.0,5.0,5.0,5,3,0.6,1,mobile_app,0.93,3,0,0
34,26,60,49.0,-11.0,-1.0,3,2,0.667,1,mobile_app,0.18,4,0,1
76,14,60,58.0,-2.0,-11.0,5,4,0.8,1,mobile_app,0.96,2,0,0
20,24,60,71.0,11.0,-9.0,2,1,0.5,1,paper,0.0,5,1,1
91,24,30,39.0,9.0,5.0,2,1,0.5,1,mobile_app,0.12,5,1,1
85,21,90,82.0,-8.0,5.0,5,3,0.6,1,paper,0.0,6,1,1
43,44,120,117.0,-3.0,1.0,3,3,1.0,1,paper,0.0,4,0,0
9,35,60,53.0,-7.0,-2.0,4,3,0.75,1,mobile_app,0.22,1,0,0
117,28,60,54.0,-6.0,-1.0,2,1,0.5,1,paper,0.0,4,0,1
54,7,60,42.0,-18.0,-4.0,2,1,0.5,1,mobile_app,0.29,4,0,1
108,34,30,29.0,-1.0,-11.0,2,1,0.5,1,mobile_app,0.67,1,0,1
